CODE,TITLE,TERM,CAREER,DELIVERY,STUDENT,TEACHER
MGMT0117,Course MGMT0117,Semester 1,Postgraduate,Online,u0001457 u0001308 u0001306 u0000906 u0001239 u0001389 u0000167 u0000189 u0001888 u0001054 u0000480 u0001032 u0000997 u0001861 u0001903 u0001364 u0000886 u0000905 u0000445 u0000779 u0001154 u0000206 u0001249 u0000852 u0001356 u0001915 u0000433 u0001150 u0000466 u0000447 u0000805 u0001043 u0001708 u0001491 u0000376 u0001885 u0001229 u0001247 u0001093 u0000055 u0000667,u0002117
BIOL0118,Course BIOL0118,Summer,Undergraduate,Blended,u0001021 u0000604 u0000953 u0000053 u0000540 u0000225 u0000292 u0001645 u0001042 u0001401 u0000440 u0000998 u0000176 u0000388 u0001672 u0001786 u0000939 u0000497 u0001962 u0000874 u0000370 u0001002 u0000353 u0001940 u0001288 u0001144 u0001393 u0000856 u0000272 u0001255 u0001908 u0000736,u0002118
CHEM0119,Course CHEM0119,Summer,Postgraduate,Online,u0000378 u0000289 u0000531 u0000915 u0000931 u0001464 u0001352 u0000849 u0001846 u0001811 u0001652 u0001988 u0001842 u0001640 u0001570 u0000137 u0001647 u0001077 u0001813 u0000473 u0001873 u0000947 u0001182 u0001221 u0000905 u0000364 u0001541 u0000090 u0001884 u0000460 u0000428 u0000328 u0001845 u0000771 u0001607 u0000452 u0001299 u0000032 u0001918 u0000936 u0001079 u0001563 u0000441 u0000956 u0000234 u0001474 u0000004 u0000972 u0001566 u0000822 u0000276 u0001619 u0001611 u0001263 u0001718 u0000715 u0001798 u0001058 u0000684 u0000060 u0001255 u0001059 u0001311 u0000291 u0001397 u0000068 u0000352 u0001737 u0001261 u0001459 u0000801 u0000103 u0000527 u0000827 u0001907 u0000272 u0000340 u0000275,u0002119
ENGN0120,Course ENGN0120,Winter,Undergraduate,On Campus,u0001843 u0001868 u0001985 u0000578 u0001896 u0000160 u0001952 u0001088 u0000980 u0001603 u0000577 u0000440 u0000991 u0001545 u0000339 u0000687 u0001411 u0001737 u0001754 u0001785 u0000649 u0000843 u0001944 u0001775 u0000018 u0001379 u0001860 u0001853 u0000482 u0000950 u0001392 u0001938 u0000907 u0001620 u0001554 u0000615 u0000832 u0001098 u0001795 u0000616 u0001557,u0002120
LAWS0121,Course LAWS0121,Semester 1,Undergraduate,Online,u0000990 u0000718 u0001330 u0000195 u0000325 u0001282 u0001780 u0001078 u0000574 u0000523 u0000369 u0001228 u0001337 u0000451 u0001258 u0001876 u0000021 u0001755 u0001535 u0000367 u0001725 u0001908 u0001868 u0001613 u0000862 u0001873 u0001827 u0000105 u0000930 u0001207 u0000377 u0001253 u0001874 u0001254 u0001539 u0001199 u0001142 u0001594 u0001426 u0001921 u0001707 u0000899 u0000628 u0001425 u0000587 u0001823 u0001529 u0001753 u0000087 u0001527 u0001623 u0000773 u0001949 u0001403 u0000114 u0000760 u0000906 u0000478 u0001639 u0001428 u0001044 u0000483 u0000799 u0001888 u0000030 u0001090 u0001219 u0000546 u0001188 u0000644 u0000185 u0000008 u0000813 u0000935 u0001287 u0001579 u0000154 u0000541 u0000970 u0001762 u0001834 u0001086 u0000129 u0001835 u0001062 u0001308 u0001301 u0000070 u0001603 u0000113 u0000178 u0000518 u0000836 u0001781 u0000630 u0001091 u0001732 u0000275,u0002121
HIST0122,Course HIST0122,Spring,Undergraduate,Online,u0000437 u0001299 u0000982 u0000306 u0001827 u0000230 u0001207 u0001182 u0000555 u0000837 u0001490 u0000233 u0000028 u0000806 u0001402 u0000813 u0001647 u0000694 u0000573 u0001413 u0001667 u0000975 u0000750 u0001751 u0001783 u0000080 u0001118 u0000625 u0000380 u0001298 u0000628 u0000428 u0000322 u0000717 u0001956 u0000071 u0001732 u0001818 u0001015 u0001449 u0001421,u0002122
BIOL0123,Course BIOL0123,Semester 1,Undergraduate,Online,u0001395 u0001669 u0001226 u0001896 u0001966 u0000332 u0001770 u0001338 u0000727 u0000452 u0001584 u0000302 u0000999 u0001439 u0001197 u0001437 u0000108 u0000354 u0000526 u0001928 u0000829 u0000136 u0000662 u0001825 u0000174 u0001383 u0001515 u0001685 u0001090 u0000531 u0000384 u0001494 u0000439 u0000496 u0000285 u0001965 u0001500 u0001323 u0001254 u0000133 u0000558 u0001541 u0001215 u0000206 u0001666 u0001312 u0000852 u0001751 u0000695 u0001738 u0000204 u0001988 u0000348 u0001384 u0000828 u0000801 u0001491 u0001204 u0001821 u0001542 u0001008 u0001663 u0001823 u0001725 u0000971 u0001835 u0001059 u0001449 u0001444 u0000338,u0002123
ENGN0124,Course ENGN0124,Spring,Undergraduate,Online,u0001457 u0001505 u0000535 u0001186 u0001183 u0000953 u0000054 u0000073 u0000980 u0000833 u0001685 u0001370 u0000571 u0000623 u0001396 u0000454 u0001786 u0000092 u0001937 u0000639 u0000633 u0000904 u0000315 u0001730 u0000387 u0001651 u0001890 u0000725 u0001812 u0000925 u0000625 u0000386 u0000938 u0000252 u0001256 u0001602 u0001408 u0000239 u0001933 u0000699 u0001324,u0002124
PHYS0125,Course PHYS0125,Autumn,Postgraduate,On Campus,u0001748 u0000818 u0000705 u0001428 u0000375 u0001023 u0000651 u0001169 u0001591 u0000963 u0001767 u0001401 u0001394 u0001114 u0001661 u0000815 u0000489 u0000512 u0000282 u0000051 u0001510 u0000269 u0001164 u0000779 u0000521 u0001761 u0000853 u0000505 u0001259 u0001564 u0000284 u0000271 u0000115 u0000413 u0000247 u0000499 u0000491 u0001914 u0000099 u0000432 u0000867 u0000901 u0000594 u0001475 u0000274 u0001949 u0000259 u0000610 u0000268,u0002125
BUSN0126,Course BUSN0126,Autumn,Undergraduate,On Campus,u0001634 u0001423 u0001166 u0000500 u0000230 u0000013 u0001494 u0000687 u0000958 u0001551 u0001965 u0001828 u0000870 u0000273 u0001303 u0001100 u0001318 u0001150 u0001333 u0000907 u0000205 u0001647 u0000259 u0001403,u0002126
PHYS0127,Course PHYS0127,Semester 2,Postgraduate,Online,u0001395 u0001894 u0001813 u0000305 u0001096 u0000990 u0000691 u0001338 u0001007 u0001216 u0000687 u0001280 u0000520 u0000579 u0000002 u0000580 u0001530 u0001863 u0000678 u0001462 u0000933 u0001883 u0000163 u0001331 u0001878 u0000882 u0000034 u0000187 u0000269 u0001557,u0002127
PHYS0128,Course PHYS0128,Winter,Undergraduate,Online,u0001395 u0000328 u0001209 u0001668 u0001546 u0000847 u0001976 u0001770 u0001776 u0001455 u0001262 u0001649 u0001119 u0001545 u0000836 u0000496 u0001766 u0001352 u0000035 u0000806 u0000346 u0001713 u0001541 u0000764 u0001504 u0001264 u0001534 u0000077 u0000921 u0000519 u0000641 u0000100 u0000088 u0001354 u0000976 u0001392 u0001499 u0000111 u0000360 u0000755 u0000942 u0000586 u0001443 u0000099 u0000403 u0000213 u0000368 u0000155 u0000180 u0001881 u0001949 u0000316,u0002128
CHEM0129,Course CHEM0129,Summer,Postgraduate,On Campus,u0000967 u0000359 u0001626 u0000612 u0000987 u0000350 u0000175 u0000823 u0000492 u0001131 u0001387 u0001200 u0001411 u0001526 u0000855 u0001937 u0001451 u0000091 u0001657 u0000330 u0000413 u0001298 u0000899 u0001684 u0000902 u0000310 u0000717 u0000368 u0000338,u0002129
LAWS0130,Course LAWS0130,Semester 2,Postgraduate,Online,u0000996 u0001294 u0000990 u0000879 u0001734 u0000135 u0001692 u0001617 u0001376 u0000573 u0000650 u0000984 u0001573 u0000220 u0001728 u0000403 u0000739 u0000397 u0000412 u0000435 u0001095 u0000417 u0000540 u0001873 u0001268 u0000209 u0000529 u0001260 u0001047 u0001965 u0000843 u0001594 u0001150 u0000725 u0001691 u0000503 u0000040 u0001043 u0000686 u0000937 u0001274 u0001949 u0000027 u0000305 u0001073 u0001458 u0000465 u0001476 u0000606 u0001709 u0001981 u0000154 u0001452 u0000750 u0000110 u0000551 u0001408 u0001991 u0000793 u0001212 u0000336 u0001771 u0001822 u0001689 u0001341 u0000769 u0000820 u0000203 u0000998 u0000202 u0001865 u0000156 u0001947 u0001980 u0000330 u0000524 u0001678 u0001519 u0001824 u0000140 u0001165 u0001557,u0002130
ENGN0131,Course ENGN0131,Spring,Undergraduate,Blended,u0001778 u0000333 u0000036 u0000397 u0001178 u0001365 u0001814 u0001033 u0000373 u0000257 u0000982 u0000152 u0001159 u0001268 u0000081 u0001194 u0000243 u0000165 u0001968 u0000835 u0000569 u0000623 u0001282 u0001170 u0001500 u0001672 u0000216 u0001693 u0001070 u0000051 u0000785 u0000374 u0000301 u0000794 u0000431 u0000150 u0001250 u0000497 u0001619 u0001190 u0000516 u0000370 u0001150 u0000303 u0001632 u0001298 u0000380 u0000964 u0001036 u0001018 u0000193 u0000119 u0000231 u0000057 u0001831 u0000079 u0001105 u0000554 u0001403,u0002131
COMP0132,Course COMP0132,Semester 1,Postgraduate,Blended,u0000996 u0001012 u0001810 u0000708 u0001486 u0000014 u0000407 u0000199 u0001115 u0001797 u0000494 u0001904 u0001728 u0001795 u0000467 u0001482 u0001156 u0001926 u0001095 u0000175 u0001928 u0001182 u0000355 u0001272 u0001775 u0000091 u0001471 u0001128 u0001847 u0000120 u0001150 u0001691 u0000128 u0001632 u0000628 u0001623 u0001721 u0001313 u0000979 u0000526 u0000366 u0001019 u0000546 u0000806 u0001559 u0001064 u0001566 u0000110 u0001730 u0001508 u0001094 u0001298 u0001058 u0001271 u0001086 u0001542 u0001291 u0001822 u0000932 u0001373 u0001646 u0000068 u0001436 u0000861 u0001381 u0000510 u0001672 u0000035 u0001411 u0000273 u0000265 u0000731 u0001958 u0000363 u0000770 u0001708 u0000619 u0000347,u0002132
PHYS0133,Course PHYS0133,Winter,Undergraduate,Online,u0001405 u0001735 u0000027 u0001689 u0000249 u0000687 u0000958 u0000556 u0000381 u0000905 u0000157 u0001655 u0001699 u0000142 u0001611 u0001751 u0000482 u0000415 u0000635 u0000923 u0000605 u0001856 u0001098 u0000362 u0000527 u0000419 u0001060 u0001907 u0000971 u0001593,u0002133
MGMT0134,Course MGMT0134,Spring,Undergraduate,Online,u0001420 u0001631 u0000270 u0000957 u0001976 u0001121 u0000846 u0000375 u0000289 u0000113 u0000726 u0000411 u0001042 u0000728 u0001344 u0000575 u0000471 u0001370 u0001912 u0001934 u0000355 u0001476 u0000688 u0000233 u0000556 u0000134 u0001927 u0001087 u0001709 u0000878 u0000150 u0000080 u0000010 u0000210 u0001811 u0001530 u0000599 u0001695 u0001944 u0000018 u0001481 u0001034 u0000641 u0000627 u0000750 u0000227 u0001017 u0001954 u0001331 u0000923 u0001080 u0000944 u0001914 u0001988 u0001558 u0000586 u0001727 u0001443 u0000946 u0000309 u0001473 u0000322 u0001177 u0000509 u0001512 u0001663 u0000783 u0001572 u0001824 u0000472 u0000079 u0001024 u0001557 u0001724,u0002134
LAWS0135,Course LAWS0135,Autumn,Postgraduate,Online,u0001669 u0000414 u0001870 u0001265 u0001780 u0001464 u0001983 u0001364 u0001585 u0001900 u0001860 u0000408 u0001972 u0000386 u0001533 u0000961 u0001866 u0001608 u0000739 u0000368 u0001893 u0000346 u0000112 u0001654 u0001613 u0000473 u0001057 u0000871 u0001260 u0001540 u0001320 u0000091 u0001264 u0000390 u0000065 u0000069 u0000319 u0001727 u0000792 u0000322 u0001177 u0000419 u0001475 u0001560 u0001403 u0001444 u0000442 u0001597 u0000936 u0001073 u0001931 u0000465 u0001476 u0000631 u0001566 u0001064 u0000198 u0001406 u0001796 u0000200 u0001657 u0001204 u0000533 u0000968 u0001255 u0000062 u0000699 u0001969 u0001123 u0000238 u0001109 u0001792 u0000673 u0000169 u0000581 u0001378 u0001838 u0001765 u0000037,u0002135
BUSN0136,Course BUSN0136,Semester 1,Postgraduate,Online,u0001669 u0000479 u0001825 u0001552 u0000531 u0001638 u0000733 u0001495 u0001549 u0001201 u0000132 u0000077 u0000207 u0000494 u0001637 u0000528 u0001826 u0001795 u0001036 u0001112 u0001483 u0000877 u0001868 u0000073 u0000106 u0000262 u0001867 u0000257 u0001916 u0000913 u0001841 u0001207 u0000019 u0000511 u0001671 u0000692 u0000275 u0001353 u0001869 u0001830 u0000227 u0001610 u0001206 u0000322 u0001753 u0001663 u0001571 u0001555 u0001302 u0000038 u0001563 u0000550 u0000614 u0000985 u0001618 u0000513 u0001163 u0000776 u0001805 u0000606 u0000253 u0000110 u0000436 u0000493 u0001834 u0000707 u0000858 u0000559 u0001973 u0001362 u0001016 u0001544 u0000097 u0001736 u0001465 u0000365 u0000629 u0000774 u0000430 u0001513 u0000520 u0001737 u0000273 u0001259 u0000627 u0001318 u0000914 u0000749 u0000400 u0001958 u0001620 u0000801 u0000920 u0000948 u0000347 u0000472 u0001037 u0000268,u0002136
BIOL0137,Course BIOL0137,Winter,Undergraduate,Online,u0000126 u0000452 u0001041 u0001157 u0000677 u0000411 u0000288 u0001114 u0000998 u0001236 u0001780 u0001903 u0000316 u0001360 u0001510 u0000374 u0000859 u0001375 u0001942 u0001064 u0001937 u0000681 u0000425 u0000085 u0000742 u0000655 u0001264 u0001199 u0001452 u0001611 u0000072 u0000752 u0001915 u0000919 u0000043 u0000311 u0000396 u0000568 u0000376 u0001267 u0001885 u0001823 u0000424 u0001804 u0000130 u0000293 u0001435 u0000259 u0001077 u0000401,u0002137
PHYS0138,Course PHYS0138,Semester 2,Undergraduate,Online,u0001778 u0001631 u0000320 u0000359 u0000179 u0001776 u0000987 u0000417 u0001409 u0000097 u0001969 u0000354 u0001582 u0000868 u0000769 u0000378 u0000136 u0001388 u0000775 u0001032 u0001497 u0001326 u0000176 u0001031 u0000623 u0000430 u0001260 u0001188 u0001025 u0001223 u0000463 u0001500 u0001447 u0000186 u0000794 u0002000 u0001411 u0000780 u0001549 u0000273 u0000764 u0000280 u0000091 u0000294 u0001749 u0000466 u0001954 u0000923 u0001809 u0000902 u0001945 u0000832 u0001438 u0000920 u0001267 u0000872 u0001673 u0000969 u0001886 u0000587 u0001662 u0001317 u0001687 u0001725 u0000034 u0000140 u0000472 u0001881 u0001531 u0000274 u0000736 u0001211,u0002138
MATH0139,Course MATH0139,Autumn,Postgraduate,On Campus,u0001226 u0001959 u0001946 u0000745 u0000414 u0001295 u0001800 u0001485 u0001497 u0000384 u0001617 u0001520 u0001484 u0000251 u0001694 u0001337 u0001158 u0000455 u0001314 u0001191 u0001315 u0001535 u0000761 u0001112 u0001483 u0000900 u0001173 u0000634 u0001613 u0001277 u0001332 u0001023 u0000696 u0000462 u0000267 u0000746 u0000558 u0001733 u0000552 u0001833 u0000548 u0000396 u0000720 u0000790 u0001097 u0000114 u0001444 u0001658 u0000027 u0000760 u0001235 u0001597 u0001365 u0001044 u0001627 u0001131 u0001709 u0000185 u0001375 u0001705 u0000005 u0001137 u0001523 u0000719 u0000759 u0001195 u0000866 u0001924 u0001905 u0000009 u0001081 u0000259 u0001101 u0000477 u0001770 u0000543 u0001689 u0000291 u0001197 u0001465 u0000296 u0000522 u0000475 u0000214 u0001111 u0001359 u0001749 u0000247 u0001392 u0000605 u0000103 u0001072 u0000730 u0000082 u0001489,u0002139
CBEA0140,Course CBEA0140,Semester 2,Undergraduate,On Campus,u0001654 u0001966 u0000333 u0000397 u0000936 u0000834 u0000082 u0001169 u0000182 u0000291 u0001007 u0000147 u0001645 u0001230 u0001817 u0000288 u0000145 u0001283 u0001000 u0001366 u0000287 u0001636 u0000638 u0001242 u0000028 u0001559 u0000935 u0000849 u0001585 u0001245 u0000631 u0001816 u0000485 u0000184 u0001796 u0000701 u0000390 u0001706 u0000090 u0000750 u0000752 u0001508 u0001830 u0000351 u0000331 u0001749 u0001954 u0000459 u0001884 u0000911 u0000386 u0001377 u0001288 u0000735 u0001988 u0001098 u0000309 u0001198 u0001305 u0001572 u0000761 u0001008 u0001602 u0001204 u0001134 u0000484 u0000379 u0001511 u0001165 u0000192 u0001862 u0000268 u0000729,u0002140
CBEA0141,Course CBEA0141,Autumn,Undergraduate,On Campus,u0000643 u0001073 u0000787 u0000974 u0000995 u0000662 u0001741 u0001750 u0001326 u0001737 u0000381 u0001782 u0000436 u0001380 u0000387 u0001499 u0000095 u0000056 u0001444 u0000338,u0002141
COMP0142,Course COMP0142,Semester 2,Postgraduate,Online,u0000534 u0001682 u0001626 u0000442 u0000763 u0001690 u0000375 u0000600 u0000096 u0001123 u0001827 u0000289 u0000833 u0000526 u0001870 u0000145 u0000929 u0000746 u0000514 u0001477 u0001548 u0001920 u0001138 u0000341 u0000064 u0001899 u0000958 u0001448 u0001874 u0000588 u0001666 u0000655 u0000627 u0001452 u0000391 u0000451 u0000005 u0000398 u0001838 u0001798 u0001206 u0001678 u0001442 u0001459 u0001839 u0001039 u0000403 u0001826 u0001107 u0000867 u0001008 u0000679 u0001399 u0001429 u0001531 u0000269,u0002142
PHYS0143,Course PHYS0143,Semester 2,Postgraduate,Blended,u0001156 u0000328 u0000967 u0001891 u0001622 u0001857 u0001697 u0001555 u0000117 u0000452 u0000468 u0000987 u0000980 u0000483 u0000597 u0001873 u0000139 u0000081 u0001552 u0000746 u0001387 u0001676 u0001125 u0001493 u0001490 u0001766 u0001739 u0000104 u0000075 u0000219 u0000364 u0000992 u0001321 u0000154 u0000143 u0001263 u0001718 u0001947 u0001094 u0001415 u0001594 u0001228 u0000107 u0000466 u0000831 u0001174 u0001838 u0000735 u0000125 u0001856 u0000252 u0001987 u0000528 u0001568 u0000628 u0000801 u0001404 u0000533 u0000060 u0001565 u0001008 u0000424 u0001060 u0001136 u0000686 u0001835 u0000212 u0001487 u0000973 u0001313,u0002143
HIST0144,Course HIST0144,Semester 1,Postgraduate,On Campus,u0001843 u0000442 u0000468 u0000073 u0001456 u0001645 u0001892 u0001394 u0000440 u0001152 u0001592 u0001019 u0001752 u0001672 u0001360 u0001052 u0000002 u0001865 u0001740 u0000445 u0001699 u0001102 u0001761 u0000650 u0001116 u0001936 u0000641 u0001567 u0001963 u0001890 u0001833 u0001938 u0000911 u0000421 u0000363 u0000427 u0000801 u0001267 u0001886 u0000416 u0001572 u0001951 u0001623 u0000261 u0001601 u0001600 u0001820,u0002144
ENGN0145,Course ENGN0145,Spring,Postgraduate,Blended,u0000553 u0001748 u0001277 u0001023 u0000980 u0001580 u0000550 u0000518 u0001772 u0000168 u0000629 u0000768 u0001638 u0001501 u0001221 u0000688 u0001636 u0000681 u0000094 u0001811 u0000657 u0000402 u0000091 u0001063 u0001386 u0001174 u0001833 u0001632 u0000021 u0001914 u0001834 u0000872 u0000832 u0000664 u0000782 u0000428 u0000891 u0001907 u0000960 u0001232 u0001929 u0001024 u0000973 u0000379 u0001658,u0002145
BUSN0146,Course BUSN0146,Autumn,Postgraduate,Online,u0000378 u0001992 u0001283 u0001119 u0000121 u0001983 u0000150 u0001284 u0001860 u0001887 u0001612 u0000043 u0000380 u0000386 u0001755 u0000805 u0000969 u0000368 u0001570 u0000751 u0001893 u0000634 u0000705 u0000302 u0001022 u0001536 u0000168 u0001492 u0001082 u0001962 u0000685 u0001656 u0001954 u0000396 u0001202 u0000717 u0000086 u0000102 u0000773 u0001403 u0000885 u0000478 u0000333 u0001768 u0000136 u0000835 u0001334 u0000698 u0000104 u0001828 u0000429 u0001375 u0001937 u0001796 u0001406 u0001263 u0000172 u0000759 u0001377 u0000314 u0001834 u0000241 u0000337 u0000239 u0000562 u0001059 u0000793 u0000029 u0001990 u0001784 u0001822 u0000704 u0000820 u0001381 u0001968 u0001083 u0001125 u0001323 u0001411 u0001792 u0000989 u0001292 u0002001 u0001997 u0000169 u0000171 u0001440 u0001749 u0000311 u0000625 u0001442 u0000948 u0000318,u0002146
MATH0147,Course MATH0147,Semester 1,Undergraduate,Blended,u0001156 u0001311 u0001971 u0000879 u0000675 u0001351 u0000417 u0001664 u0001603 u0000708 u0001827 u0000366 u0000677 u0001441 u0000443 u0000234 u0000613 u0001000 u0001061 u0001391 u0001358 u0001476 u0000186 u0001683 u0000618 u0001754 u0000588 u0001792 u0000694 u0001589 u0001320 u0000085 u0001986 u0000198 u0000018 u0000825 u0000349 u0000519 u0000072 u0000750 u0001932 u0000494 u0000321 u0000933 u0001848 u0000725 u0001833 u0000360 u0001854 u0001588 u0000460 u0001809 u0000046 u0001315 u0000619 u0001956 u0000940 u0000009 u0000130 u0001160 u0000102 u0000730 u0000952 u0000679 u0001186 u0000269 u0001489,u0002147
LAWS0148,Course LAWS0148,Summer,Undergraduate,On Campus,u0001294 u0000022 u0000620 u0001767 u0001503 u0000135 u0001661 u0000623 u0001364 u0001779 u0000981 u0001217 u0001356 u0000132 u0001860 u0000950 u0001876 u0000940 u0000034 u0001242 u0001593 u0001209 u0001173 u0001423 u0000608 u0000833 u0001387 u0000216 u0001424 u0001243 u0000649 u0001471 u0001936 u0001869 u0001774 u0001651 u0000271 u0000725 u0000615 u0001823 u0000955 u0000686 u0000212 u0001097 u0001428 u0001299 u0001389 u0001044 u0000038 u0000597 u0001385 u0001431 u0000136 u0001655 u0000304 u0001680 u0001938 u0001905 u0000239 u0001457 u0001395 u0001634 u0000359 u0001301 u0000932 u0001646 u0000861 u0001477 u0000084 u0000430 u0001087 u0001792 u0000157 u0001677 u0001942 u0001524 u0000743 u0001390 u0000637 u0001897 u0001558 u0000801 u0001473 u0001572 u0001556 u0000827 u0000554 u0000268,u0002148
HIST0149,Course HIST0149,Spring,Undergraduate,Blended,u0001891 u0000405 u0001930 u0000384 u0000618 u0001520 u0000523 u0000825 u0000693 u0000251 u0000965 u0001826 u0001205 u0000748 u0000666 u0000900 u0001336 u0001423 u0001827 u0001248 u0000514 u0000871 u0000676 u0001182 u0001370 u0000019 u0001510 u0000663 u0001254 u0000694 u0001249 u0001100 u0000516 u0001803 u0000912 u0001651 u0001594 u0000735 u0000826 u0000006 u0000446 u0000025 u0000758 u0000587 u0001420 u0000760 u0001845 u0000020 u0001088 u0001383 u0000817 u0000698 u0000798 u0001316 u0000822 u0000894 u0000304 u0001452 u0000874 u0001118 u0000361 u0000421 u0000007 u0000237 u0001542 u0000873 u0000968 u0000952 u0000572 u0000261 u0001531 u0001808 u0001457 u0001857 u0000808 u0000774 u0000939 u0000764 u0000853 u0001292 u0001701 u0000619 u0001765 u0001108 u0001790 u0000268,u0002149
BIOL0150,Course BIOL0150,Summer,Undergraduate,Online,u0000159 u0001845 u0000951 u0000786 u0001879 u0000117 u0000073 u0001296 u0001176 u0000182 u0000147 u0000481 u0000518 u0000985 u0001057 u0001841 u0000998 u0000529 u0000244 u0001272 u0000489 u0000754 u0001106 u0001366 u0000004 u0000733 u0000855 u0001451 u0001633 u0000652 u0001181 u0000750 u0000265 u0000544 u0000043 u0001523 u0001929 u0000994 u0000006 u0001533 u0001315 u0001535 u0001826 u0000666 u0000591 u0000259,u0002150
CBEA0151,Course CBEA0151,Semester 1,Undergraduate,Online,u0001607 u0001784 u0000278 u0000306 u0001458 u0001370 u0001895 u0000917 u0000134 u0000269 u0001201 u0001320 u0000085 u0000497 u0000418 u0001730 u0001803 u0001043 u0001815 u0000394 u0000192 u0000793,u0002151
LAWS0152,Course LAWS0152,Semester 2,Undergraduate,Online,u0000036 u0001957 u0000334 u0000791 u0001069 u0001927 u0001617 u0000150 u0000206 u0000655 u0000883 u0001995 u0000576 u0001256 u0000098 u0000705 u0000930 u0001057 u0000514 u0000377 u0000529 u0001906 u0000221 u0001625 u0000051 u0000133 u0001538 u0001082 u0001353 u0000217 u0000552 u0001113 u0000826 u0001823 u0000026 u0000114 u0001586 u0000757 u0000847 u0001428 u0001584 u0001931 u0000865 u0001296 u0000583 u0000799 u0001326 u0000039 u0001606 u0001551 u0001092 u0000312 u0000116 u0000505 u0001644 u0001244 u0001321 u0001518 u0001718 u0001094 u0000172 u0000005 u0000415 u0001288 u0001074 u0001135 u0000130 u0001309 u0001362 u0001026 u0001507 u0000054 u0001145 u0000068 u0000084 u0000538 u0001089 u0001292 u0001764 u0001440 u0000444 u0001390 u0000240 u0000731 u0000887 u0000755 u0000362 u0000680 u0000948 u0000327 u0001165,u0002152
CHEM0153,Course CHEM0153,Autumn,Postgraduate,Blended,u0001226 u0001778 u0001891 u0001959 u0000600 u0001999 u0000708 u0001000 u0000013 u0001780 u0000003 u0001979 u0001739 u0000993 u0000263 u0000498 u0000716 u0000107 u0001839 u0001222 u0001821 u0000424 u0000748 u0000015 u0000897 u0001724 u0000608 u0001814 u0000257 u0000833 u0000267 u0000746 u0000871 u0000529 u0000842 u0000579 u0001369 u0000092 u0001875 u0001380 u0001453 u0000120 u0001005 u0001525 u0001833 u0001921 u0001815 u0001251 u0001642 u0001421 u0000979 u0000612 u0000865 u0001278 u0000307 u0001768 u0001496 u0000149 u0000030 u0001013 u0001840 u0000042 u0000429 u0001624 u0000645 u0001386 u0000715 u0000166 u0001680 u0001468 u0000111 u0001103 u0001408 u0001422 u0000062 u0001507 u0001971 u0001455 u0000669 u0000070 u0001346 u0000665 u0000917 u0001781 u0000476 u0001445 u0001683 u0000453 u0000914 u0000265 u0001852 u0001890 u0000323 u0000487 u0001877 u0000124 u0001572 u0000827 u0001824,u0002153
BIOL0154,Course BIOL0154,Summer,Postgraduate,Online,u0001813 u0001985 u0001235 u0001033 u0001664 u0001456 u0001302 u0001389 u0001837 u0000841 u0000974 u0001870 u0001496 u0001825 u0000614 u0001248 u0000209 u0000660 u0000440 u0000228 u0000835 u0001447 u0000186 u0001636 u0000150 u0001981 u0001796 u0001471 u0000077 u0001902 u0001048 u0000652 u0000749 u0001380 u0001793 u0001525 u0000875 u0001367 u0001224 u0000954 u0001935 u0001561 u0001491 u0000934 u0001046 u0000659 u0000873 u0000955 u0001242 u0000591,u0002154
LAWS0155,Course LAWS0155,Autumn,Postgraduate,Online,u0001609 u0000141 u0001629 u0001735 u0001896 u0001183 u0000022 u0000082 u0001837 u0000278 u0000225 u0001603 u0001133 u0001436 u0001961 u0001237 u0001151 u0001042 u0001992 u0000746 u0001998 u0001515 u0000845 u0000569 u0000507 u0001448 u0000122 u0000463 u0000202 u0001989 u0000681 u0001981 u0000598 u0001541 u0001111 u0000657 u0000402 u0001481 u0000564 u0001246 u0001252 u0000029 u0000994 u0000421 u0000954 u0000899 u0001098 u0001086 u0000586 u0000161 u0001267 u0000934 u0001122 u0000891 u0001799 u0000699 u0001274 u0001101 u0000926,u0002155
CBEA0156,Course CBEA0156,Semester 2,Postgraduate,On Campus,u0000771 u0001183 u0001310 u0000117 u0000803 u0000350 u0000500 u0000414 u0000526 u0001248 u0000890 u0001768 u0001685 u0000998 u0001326 u0000629 u0000898 u0000571 u0001709 u0001067 u0001939 u0000941 u0001375 u0000184 u0000523 u0000498 u0000018 u0001667 u0000812 u0001619 u0000090 u0000315 u0001567 u0001889 u0001583 u0000107 u0000162 u0001499 u0001258 u0000755 u0000220 u0001224 u0000021 u0001988 u0001728 u0000007 u0001438 u0000866 u0000804 u0000902 u0001935 u0000788 u0001956 u0000087 u0001556 u0001623 u0000666 u0000900 u0000164 u0000316 u0000037,u0002156
MGMT0157,Course MGMT0157,Autumn,Postgraduate,Online,u0000343 u0001622 u0000990 u0000763 u0001310 u0001338 u0000412 u0000590 u0001646 u0000682 u0001930 u0000769 u0001446 u0001825 u0001772 u0001649 u0000690 u0000234 u0000153 u0000621 u0000569 u0000603 u0000754 u0000917 u0000556 u0000606 u0001715 u0001636 u0001364 u0001087 u0001280 u0001360 u0000093 u0001064 u0000649 u0001981 u0000301 u0001413 u0000497 u0000843 u0001406 u0001902 u0000315 u0001564 u0001801 u0001793 u0000731 u0001158 u0000383 u0000883 u0000128 u0000447 u0001224 u0000863 u0001614 u0001537 u0001839 u0000487 u0001684 u0001075 u0000689 u0000124 u0000674 u0001091 u0001662 u0001122 u0001512 u0000194 u0000765 u0000368 u0000155 u0000274 u0000555 u0001084 u0000610,u0002157
